datetime,Month,Year,LenderA,LenderB,LenderC,LenderD,LenderE,LenderF,LenderG,LenderH,LenderI,LenderJ,LenderK,totalU
2015-08-20,8,2015,0.0,127396.06,14300.0,0,179685.0,0.0,55000.0,0.0,13200.0,0.0,0.0,389581.06
2015-10-11,10,2015,0.0,117172.0,13200.0,0,170918.0,0.0,0.0,0.0,12177.0,0.0,7700.0,321167.0
2015-11-11,11,2015,0.0,111892.0,12100.0,1100,166540.0,0.0,7700.0,0.0,12100.0,0.0,16500.0,327932.0
2015-12-12,12,2015,0.0,106876.0,1320.0,1100,162162.0,0.0,46321.0,49364.59,12496.0,0.0,8800.0,388439.59
2016-01-13,1,2016,0.0,103158.0,0.0,0,157773.0,0.0,42229.0,47168.0,13398.0,0.0,22803.0,386529.0
2016-02-10,2,2016,0.0,99198.0,1100.0,0,153395.0,0.0,45408.0,47850.0,11055.0,0.0,33055.0,391061.0
2016-05-10,5,2016,138754.0,0.0,0.0,0,140239.0,0.0,38951.0,56232.0,20900.0,0.0,26400.0,421476.0
2016-06-08,6,2016,136576.0,847.0,0.0,0,135850.0,0.0,36751.0,54384.0,23925.0,0.0,25300.0,413633.0
2016-07-18,7,2016,134469.06,301.62,0.0,0,131483.0,0.0,35629.0,52404.0,21560.0,0.0,25751.0,401597.68
2016-08-20,8,2016,132319.0,286.0,0.0,495,127105.0,0.0,34342.0,50358.0,22990.0,0.0,35860.0,403755.0
2016-09-19,9,2016,130174.0,1782.0,0.0,0,122716.0,0.0,58223.0,48312.0,5940.0,0.0,38500.0,405647.0
2016-10-19,10,2016,128018.0,0.0,55.0,0,118338.0,0.0,57233.0,46222.0,23100.0,0.0,23650.0,396616.0
2016-11-20,11,2016,123662.0,660.0,0.0,253,113949.0,0.0,57145.0,41877.0,23375.0,0.0,45100.0,406021.0
2016-12-21,12,2016,120978.0,146333.0,0.0,0,109571.0,0.0,0.0,27577.0,0.0,0.0,0.0,404459.0
2017-01-22,1,2017,119273.0,146366.0,1540.0,0,105182.0,0.0,2420.0,27676.0,4400.0,0.0,4400.0,411257.0
2017-02-23,2,2017,117073.0,146421.0,44.0,4103,100804.0,0.0,880.0,24442.0,957.0,0.0,13860.0,408584.0
2017-03-16,3,2017,117067.5,146476.0,0.0,0,96415.0,0.0,4785.0,24453.0,0.0,0.0,0.0,389196.5
2017-04-30,4,2017,112596.0,135531.0,0.0,0,0.0,0.0,1573.0,22506.0,5500.0,143000.0,0.0,420706.0
2017-05-30,5,2017,110352.0,132484.0,0.0,0,0.0,0.0,3531.0,38775.0,5654.0,135630.0,0.0,426426.0
2017-07-31,7,2017,105864.0,126588.0,0.0,880,11000.0,0.0,34628.0,37026.0,1870.0,132935.0,0.0,450791.0
2017-09-12,9,2017,103609.0,119988.0,0.0,880,11000.0,0.0,31889.0,21758.0,0.0,128315.0,33000.0,450439.0
2017-10-13,10,2017,101343.0,116688.0,0.0,3333,0.0,0.0,47960.0,24035.0,5819.0,125015.0,25080.0,449273.0
2017-11-02,11,2017,99066.0,113388.0,0.0,0,0.0,0.0,59059.0,69916.0,11792.0,125004.0,11000.0,489225.0
2017-12-27,12,2017,94470.53,1712.92,0.0,0,132659.89,0.0,59266.79,70942.41,16258.11,120607.3,11000.0,506917.95
2018-03-22,3,2018,87516.0,1870.0,0.0,7084,128238.0,0.0,52723.0,64339.0,5500.0,114015.0,24420.0,485705.0
2018-05-14,5,2018,82830.0,0.0,0.0,4950,123816.0,0.0,48345.0,65109.0,11000.0,114015.0,47300.0,497365.0
2018-07-18,7,2018,80487.0,495.0,0.0,0,119394.0,0.0,43945.0,59730.0,5500.0,105215.0,41536.0,456302.0
2018-09-15,9,2018,75746.0,0.0,0.0,1771,114972.0,0.0,0.0,94281.0,7700.0,100815.0,49500.0,444785.0
2018-11-22,11,2018,68585.0,0.0,0.0,3487,110550.0,0.0,8129.0,86537.0,5588.0,95315.0,50765.0,428956.0
2018-12-23,12,2018,66165.0,0.0,0.0,0,108350.0,0.0,5841.0,60280.0,6743.0,92015.0,48950.0,388344.0
2019-01-27,1,2019,63756.0,0.0,0.0,0,106128.0,0.0,7007.0,58652.0,6413.0,88715.0,45540.0,376211.0
2019-03-08,3,2019,61325.0,0.0,0.0,0,101706.0,0.0,4774.0,55968.0,14762.0,85415.0,49500.0,373450.0
2019-04-14,4,2019,58861.0,0.0,0.0,0,99495.0,0.0,16302.0,42306.0,7700.0,78815.0,52800.0,356279.0
2019-05-16,5,2019,56419.0,100881.0,0.0,0,97284.0,176000.0,8118.0,0.0,6754.0,131021.0,16500.0,592977.0
2019-07-01,7,2019,51491.0,97911.0,0.0,0,92862.0,172218.09,9757.0,1782.0,8932.0,127721.0,22000.0,584674.09
2019-08-01,8,2019,49005.0,92411.0,0.0,0,90662.0,168436.18,50006.0,737.0,15543.0,124421.0,352.0,591573.18
2019-09-08,9,2019,46530.0,112178.0,0.0,0,88440.0,163662.18,50600.0,627.0,29700.0,121121.0,15400.0,628258.18
2019-10-08,10,2019,44033.0,109142.0,0.0,3300,86240.0,159889.18,50160.0,803.0,0.0,117810.0,44000.0,615377.18
2019-11-20,11,2019,41514.0,106920.0,0.0,7986,84018.0,156118.27,50534.0,3333.0,10857.0,111210.0,49500.0,621990.27
2019-12-31,12,2019,36465.0,102531.0,0.0,0,79596.0,152345.27,41822.0,100199.0,9229.0,48081.0,15785.0,586053.27
2020-02-12,2,2020,33935.0,93731.0,0.0,4950,77385.0,148572.27,47982.0,97559.0,8338.0,41481.0,37400.0,591333.27
2020-03-16,3,2020,31383.0,89331.0,0.0,5830,75174.0,144799.27,51370.0,94666.0,9207.0,38170.0,52800.0,592730.27
2020-04-23,4,2020,26257.0,84920.0,0.0,6820,72963.0,141026.27,53108.0,88836.0,6699.0,34881.0,53350.0,568860.27
2020-06-17,6,2020,23672.0,76131.0,0.0,2002,352099.0,139931.0,46915.0,87868.0,14542.0,28281.0,0.0,771441.0
2020-08-21,8,2020,15873.0,67331.0,0.0,2750,344773.0,132385.0,0.0,79915.0,12507.0,70477.0,5500.0,731511.0
2020-12-10,12,2020,7975.0,51183.0,0.0,0,330099.0,117293.0,1683.0,90970.0,20482.0,120362.0,0.0,740047.0
2021-04-25,4,2021,0.0,47300.0,0.0,0,315425.0,102201.0,0.0,83952.0,25608.0,125994.0,51700.0,752180.0
2021-07-30,7,2021,36300.0,25025.0,0.0,0,304425.0,90882.0,506.0,82489.0,24508.0,122958.0,0.0,687093.0
2021-09-09,9,2021,36300.0,17655.0,0.0,0,297088.0,87109.0,14476.0,81631.0,18007.0,121803.0,14454.0,688523.0
2021-10-10,10,2021,34892.0,15741.0,0.0,0,293425.0,83336.0,13651.0,78595.0,22000.0,119284.0,22000.0,682924.0
2021-11-13,11,2021,34419.0,13618.0,0.0,0,289751.0,79563.0,10670.0,76230.0,9900.0,105754.0,40700.0,660605.0
2021-12-22,12,2021,33935.0,118426.0,0.0,0,286088.0,66264.0,1463.0,69872.0,16544.0,0.0,37675.0,630267.0
2022-01-28,1,2022,33451.0,114565.0,0.0,0,282425.0,62491.0,1463.0,67265.0,17446.0,0.0,46035.0,625141.0
2022-03-02,2,2022,32461.0,110726.0,0.0,0,275088.0,58718.0,10285.0,65329.0,18337.0,0.0,9460.0,580404.0
2022-04-04,4,2022,31955.0,106876.0,0.0,0,271414.0,54945.0,7084.0,62216.0,23892.0,0.0,14531.0,572913.0
2022-05-02,5,2022,31955.0,99176.0,0.0,0,267751.0,51172.0,3971.0,60973.0,19140.0,0.0,10923.0,545061.0
2022-05-02,6,2022,31460.0,99176.0,0.0,0,264077.0,45430.0,46079.0,121033.0,5500.0,0.0,0.0,612755.0
2022-08-01,8,2022,30646.0,127325.0,0.0,0,256740.0,41657.0,70059.0,116556.0,0.0,28600.0,0.0,671583.0
2022-09-02,9,2022,29425.0,123467.85,0.0,0,253077.0,34111.0,66737.0,114026.0,418.0,26400.0,0.0,647661.85
2022-10-02,10,2022,28655.0,119617.85,0.0,0,249414.0,30338.0,66737.0,111397.0,550.0,24200.0,0.0,630908.85
2022-11-28,11,2022,28369.0,115775.0,0.0,0,245740.0,22638.0,62084.0,104335.0,14025.0,19800.0,0.0,612766.0
2023-02-05,2,2023,26774.0,108064.0,0.0,0,234740.0,15125.0,57772.0,98703.0,8800.0,15400.0,0.0,565378.0
2023-03-05,3,2023,26202.0,104225.0,0.0,0,231077.0,11352.0,56826.0,95810.0,5500.0,13200.0,0.0,544192.0
2023-04-05,4,2023,25432.0,100375.0,0.0,0,227403.0,7579.0,54618.08,92689.96,0.0,11000.0,0.0,519097.04
2023-05-05,5,2023,24893.0,95975.0,0.0,0,223729.0,3773.0,51876.0,89023.0,0.0,8800.0,0.0,498069.0
